@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId
SensorSystem,Norge,NO,AGDER,42.0,1.0,2019,2017,3,True,['10.249.1.79'],"{'@type': 'Point', 'coordinates': [7.4128, 58.6172], 'nearest': False}",,SN41480,268.0,ÅSERAL,4224,ÅSERAL,,Åseral,['MET.NO'],1895-07-01T00:00:00.000Z,0-578-0-41480,
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,1.0,2019,1980,40,True,"['01015', '10.249.0.114', '10.249.0.146']","{'@type': 'Point', 'coordinates': [17.8303, 69.6013], 'nearest': False}",,SN88690,14.0,SENJA,5421,HEKKINGEN FYR,,Hekkingen fyr,['MET.NO'],1979-11-01T00:00:00.000Z,0-20000-0-01015,1015.0
SensorSystem,Norge,NO,NORSKEHAVET,24.0,,2011,2011,1,True,"['1200', 'ENNE', 'LF5T']","{'@type': 'Point', 'coordinates': [8.085, 66.0256], 'nearest': False}",['ENNE'],SN76930,33.0,NORSKEHAVET,2400,NORNE,['LF5T'],Norne,['STATOIL ASA'],1998-02-11T00:00:00.000Z,0-578-0-76930,1200.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,,2012,2012,1,True,['1512'],"{'@type': 'Point', 'coordinates': [18.8772, 69.6988], 'nearest': False}",,SN90560,63.0,TROMSØ,5401,KVALØYSLETTA,,Kvaløysletta ,['TROMSØ KOMMUNE'],2011-10-20T00:00:00.000Z,0-578-0-90560,
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,1.0,2012,2009,4,True,"['01214', '10.249.0.163']","{'@type': 'Point', 'coordinates': [6.7552, 62.6512], 'nearest': False}",,SN61060,43.0,VESTNES,1535,REKDAL,,Rekdal,['MET.NO'],2008-05-26T00:00:00.000Z,0-20000-0-01214,1214.0
SensorSystem,Norge,NO,NORDLAND,18.0,2.0,2019,2004,15,True,"['01117', '28']","{'@type': 'Point', 'coordinates': [12.4255, 65.8295], 'nearest': False}",,SN76530,21.0,ALSTAHAUG,1820,TJØTTA,,Tjøtta,"['NIBIO TJØTTA', 'NIBIO']",1984-09-01T00:00:00.000Z,0-20000-0-01117,1117.0
SensorSystem,Norge,NO,NORDSJØEN,26.0,4.0,2019,2001,12,True,"['1402', 'ENSL', 'LF4C']","{'@type': 'Point', 'coordinates': [1.9091, 58.3711], 'nearest': False}",['ENSL'],SN76926,85.0,NORDSJØEN,2600,SLEIPNER A,['LF4C'],Sleipner A,['STATOIL ASA'],1993-10-01T00:00:00.000Z,0-578-0-76926,1402.0
SensorSystem,Norge,NO,ROGALAND,11.0,2.0,2019,1929,89,True,"['01424', '10.249.1.86']","{'@type': 'Point', 'coordinates': [6.3499, 59.6479], 'nearest': False}",,SN46610,5.0,SAUDA,1135,SAUDA,,Sauda,['MET.NO'],1928-03-01T00:00:00.000Z,0-20000-0-01424,1424.0
SensorSystem,Norge,NO,AGDER,42.0,1.0,2019,2010,10,True,"['01430', '10.249.0.118']","{'@type': 'Point', 'coordinates': [7.4517, 58.0247], 'nearest': False}",,SN41090,10.0,LINDESNES,4205,MANDAL III,,Mandal,['MET.NO'],2009-08-26T00:00:00.000Z,0-20000-0-01430,1430.0
SensorSystem,Norge,NO,VESTLAND,46.0,1.0,2019,2006,14,True,"['10.249.0.42', '1407', 'ENSO']","{'@type': 'Point', 'coordinates': [5.3407, 59.7933], 'nearest': False}",['ENSO'],SN48120,49.0,STORD,4614,STORD LUFTHAVN,,Stord LH,['AVINOR'],1985-01-01T00:00:00.000Z,0-578-0-48120,1407.0
